	trec-covid	bioasq	nfcorpus	nq	hotpotqa	climate-fever	fever	dbpedia-entity	fiqa	signal1m	trec-news	robust04	arguana	webis-touche2020	quora	cqadupstack	scidocs	scifact	msmarco
trec-covid	1.0000	0.6805	0.5963	0.3362	0.2377	0.2603	0.2604	0.2334	0.2451	0.2251	0.2787	0.3180	0.2927	0.2760	0.2149	0.2772	0.4241	0.6367	0.3485
bioasq	0.6805	1.0000	0.6533	0.3165	0.2267	0.2464	0.2465	0.2242	0.2259	0.2182	0.2541	0.2943	0.2567	0.2586	0.2031	0.2753	0.3823	0.7174	0.3335
nfcorpus	0.5963	0.6533	1.0000	0.3165	0.2207	0.2400	0.2401	0.2187	0.2338	0.2096	0.2508	0.2908	0.2665	0.2540	0.2047	0.2594	0.3541	0.6115	0.3318
nq	0.3362	0.3165	0.3165	1.0000	0.4995	0.5694	0.5689	0.4902	0.3926	0.3710	0.5455	0.5439	0.4421	0.4387	0.3717	0.3437	0.3329	0.2937	0.5508
hotpotqa	0.2377	0.2267	0.2207	0.4995	1.0000	0.8334	0.8340	0.9355	0.2344	0.3446	0.3469	0.3274	0.2709	0.2543	0.2790	0.2427	0.2235	0.2107	0.3767
climate-fever	0.2603	0.2464	0.2400	0.5694	0.8334	1.0000	0.9993	0.8253	0.2640	0.3549	0.3949	0.3762	0.3064	0.2862	0.2933	0.2677	0.2449	0.2280	0.4122
fever	0.2604	0.2465	0.2401	0.5689	0.8340	0.9993	1.0000	0.8258	0.2636	0.3544	0.3945	0.3758	0.3060	0.2858	0.2935	0.2673	0.2450	0.2281	0.4117
dbpedia-entity	0.2334	0.2242	0.2187	0.4902	0.9355	0.8253	0.8258	1.0000	0.2255	0.3425	0.3405	0.3231	0.2635	0.2463	0.2751	0.2402	0.2177	0.2084	0.3691
fiqa	0.2451	0.2259	0.2338	0.3926	0.2344	0.2640	0.2636	0.2255	1.0000	0.3077	0.4699	0.4494	0.4356	0.5031	0.4116	0.4062	0.3054	0.2202	0.4680
signal1m	0.2251	0.2182	0.2096	0.3710	0.3446	0.3549	0.3544	0.3425	0.3077	1.0000	0.4079	0.3431	0.2916	0.3211	0.3555	0.3037	0.2081	0.2048	0.3654
trec-news	0.2787	0.2541	0.2508	0.5455	0.3469	0.3949	0.3945	0.3405	0.4699	0.4079	1.0000	0.5913	0.4754	0.5179	0.3765	0.3568	0.3016	0.2400	0.5027
robust04	0.3180	0.2943	0.2908	0.5439	0.3274	0.3762	0.3758	0.3231	0.4494	0.3431	0.5913	1.0000	0.4845	0.4528	0.3275	0.3324	0.3199	0.2800	0.4757
arguana	0.2927	0.2567	0.2665	0.4421	0.2709	0.3064	0.3060	0.2635	0.4356	0.2916	0.4754	0.4845	1.0000	0.5555	0.3461	0.3116	0.3413	0.2539	0.4240
webis-touche2020	0.2760	0.2586	0.2540	0.4387	0.2543	0.2862	0.2858	0.2463	0.5031	0.3211	0.5179	0.4528	0.5555	1.0000	0.3838	0.3866	0.3364	0.2508	0.4530
quora	0.2149	0.2031	0.2047	0.3717	0.2790	0.2933	0.2935	0.2751	0.4116	0.3555	0.3765	0.3275	0.3461	0.3838	1.0000	0.3551	0.2515	0.1920	0.4549
cqadupstack	0.2772	0.2753	0.2594	0.3437	0.2427	0.2677	0.2673	0.2402	0.4062	0.3037	0.3568	0.3324	0.3116	0.3866	0.3551	1.0000	0.3632	0.2598	0.4230
scidocs	0.4241	0.3823	0.3541	0.3329	0.2235	0.2449	0.2450	0.2177	0.3054	0.2081	0.3016	0.3199	0.3413	0.3364	0.2515	0.3632	1.0000	0.3796	0.3599
scifact	0.6367	0.7174	0.6115	0.2937	0.2107	0.2280	0.2281	0.2084	0.2202	0.2048	0.2400	0.2800	0.2539	0.2508	0.1920	0.2598	0.3796	1.0000	0.3112
msmarco	0.3485	0.3335	0.3318	0.5508	0.3767	0.4122	0.4117	0.3691	0.4680	0.3654	0.5027	0.4757	0.4240	0.4530	0.4549	0.4230	0.3599	0.3112	1.0000
