	trec-covid	bioasq	nfcorpus	nq	hotpotqa	climate-fever	fever	dbpedia-entity	fiqa	signal1m	trec-news	robust04	arguana	webis-touche2020	quora	cqadupstack	scidocs	scifact	msmarco
trec-covid	1.0000	0.0546	0.0839	0.1642	0.2218	0.2017	0.2016	0.2221	0.2382	0.2489	0.2108	0.1854	0.2013	0.2163	0.2808	0.2252	0.1392	0.0701	0.1624
bioasq	0.0546	1.0000	0.0603	0.1658	0.2205	0.2011	0.2011	0.2198	0.2425	0.2449	0.2189	0.1922	0.2182	0.2217	0.2816	0.2191	0.1519	0.0423	0.1618
nfcorpus	0.0839	0.0603	1.0000	0.1814	0.2409	0.2211	0.2211	0.2402	0.2556	0.2684	0.2329	0.2050	0.2236	0.2356	0.2987	0.2441	0.1775	0.0782	0.1776
nq	0.1642	0.1658	0.1814	1.0000	0.0816	0.0633	0.0634	0.0821	0.1366	0.1482	0.0943	0.0854	0.1052	0.1224	0.1754	0.1559	0.1576	0.1849	0.0672
hotpotqa	0.2218	0.2205	0.2409	0.0816	1.0000	0.0201	0.0201	0.0049	0.2208	0.1691	0.1765	0.1673	0.1931	0.2166	0.2170	0.2207	0.2222	0.2379	0.1214
climate-fever	0.2017	0.2011	0.2211	0.0633	0.0201	1.0000	0.0000	0.0198	0.1984	0.1606	0.1437	0.1355	0.1701	0.1893	0.2078	0.2005	0.2019	0.2193	0.1060
fever	0.2016	0.2011	0.2211	0.0634	0.0201	0.0000	1.0000	0.0198	0.1985	0.1606	0.1438	0.1356	0.1702	0.1894	0.2078	0.2006	0.2019	0.2193	0.1061
dbpedia-entity	0.2221	0.2198	0.2402	0.0821	0.0049	0.0198	0.0198	1.0000	0.2229	0.1685	0.1764	0.1670	0.1943	0.2184	0.2183	0.2201	0.2237	0.2377	0.1218
fiqa	0.2382	0.2425	0.2556	0.1366	0.2208	0.1984	0.1985	0.2229	1.0000	0.1826	0.1164	0.1233	0.1182	0.0883	0.1501	0.1238	0.2003	0.2568	0.0970
signal1m	0.2489	0.2449	0.2684	0.1482	0.1691	0.1606	0.1606	0.1685	0.1826	1.0000	0.1560	0.1744	0.2006	0.1852	0.1916	0.1812	0.2486	0.2621	0.1393
trec-news	0.2108	0.2189	0.2329	0.0943	0.1765	0.1437	0.1438	0.1764	0.1164	0.1560	1.0000	0.0696	0.1098	0.0908	0.1901	0.1623	0.1953	0.2341	0.1108
robust04	0.1854	0.1922	0.2050	0.0854	0.1673	0.1355	0.1356	0.1670	0.1233	0.1744	0.0696	1.0000	0.1082	0.1147	0.2092	0.1736	0.1809	0.2089	0.1086
arguana	0.2013	0.2182	0.2236	0.1052	0.1931	0.1701	0.1702	0.1943	0.1182	0.2006	0.1098	0.1082	1.0000	0.0857	0.1902	0.1766	0.1702	0.2274	0.1143
webis-touche2020	0.2163	0.2217	0.2356	0.1224	0.2166	0.1893	0.1894	0.2184	0.0883	0.1852	0.0908	0.1147	0.0857	1.0000	0.1707	0.1352	0.1846	0.2341	0.1122
quora	0.2808	0.2816	0.2987	0.1754	0.2170	0.2078	0.2078	0.2183	0.1501	0.1916	0.1901	0.2092	0.1902	0.1707	1.0000	0.1669	0.2471	0.2970	0.1350
cqadupstack	0.2252	0.2191	0.2441	0.1559	0.2207	0.2005	0.2006	0.2201	0.1238	0.1812	0.1623	0.1736	0.1766	0.1352	0.1669	1.0000	0.1833	0.2358	0.1205
scidocs	0.1392	0.1519	0.1775	0.1576	0.2222	0.2019	0.2019	0.2237	0.2003	0.2486	0.1953	0.1809	0.1702	0.1846	0.2471	0.1833	1.0000	0.1602	0.1482
scifact	0.0701	0.0423	0.0782	0.1849	0.2379	0.2193	0.2193	0.2377	0.2568	0.2621	0.2341	0.2089	0.2274	0.2341	0.2970	0.2358	0.1602	1.0000	0.1805
msmarco	0.1624	0.1618	0.1776	0.0672	0.1214	0.1060	0.1061	0.1218	0.0970	0.1393	0.1108	0.1086	0.1143	0.1122	0.1350	0.1205	0.1482	0.1805	1.0000
