	trec-covid	bioasq	nfcorpus	nq	hotpotqa	climate-fever	fever	dbpedia-entity	fiqa	signal1m	trec-news	robust04	arguana	webis-touche2020	quora	cqadupstack	scidocs	scifact	msmarco
trec-covid	1.0000	0.0448	0.0336	0.1378	0.1141	0.1268	0.1268	0.1026	0.0769	0.1147	0.2565	0.1991	0.0948	0.1706	0.1257	0.0665	0.0856	0.0569	0.1137
bioasq	0.0609	1.0000	0.0194	0.1555	0.1295	0.1447	0.1447	0.1217	0.0999	0.1345	0.2773	0.2233	0.1397	0.1957	0.1517	0.0833	0.1371	0.0239	0.1279
nfcorpus	0.1186	0.0863	1.0000	0.1908	0.1527	0.1706	0.1706	0.1435	0.1212	0.1509	0.3080	0.2669	0.1566	0.2258	0.1755	0.1044	0.1849	0.1257	0.1794
nq	0.1812	0.1576	0.1643	1.0000	0.0616	0.0384	0.0383	0.0815	0.0574	0.1851	0.2639	0.1940	0.0632	0.1516	0.1579	0.0737	0.1527	0.1855	0.0489
hotpotqa	0.2694	0.2197	0.2561	0.1654	1.0000	0.0588	0.0588	0.0050	0.1574	0.2180	0.4821	0.3698	0.2383	0.3233	0.1839	0.1503	0.2188	0.2563	0.1190
climate-fever	0.1456	0.1090	0.1328	0.0707	-0.0202	1.0000	-0.0000	-0.0222	0.0586	0.1299	0.3001	0.2246	0.1211	0.1858	0.1071	0.0644	0.1062	0.1335	0.0523
fever	0.1456	0.1090	0.1328	0.0708	-0.0202	0.0000	1.0000	-0.0222	0.0588	0.1300	0.3002	0.2247	0.1212	0.1858	0.1071	0.0645	0.1062	0.1335	0.0523
dbpedia-entity	0.2553	0.2071	0.2423	0.1618	0.0013	0.0604	0.0604	1.0000	0.1551	0.2109	0.4672	0.3603	0.2314	0.3199	0.1803	0.1449	0.2111	0.2426	0.1218
fiqa	0.3243	0.3136	0.3265	0.3440	0.3525	0.3592	0.3582	0.3496	1.0000	0.3400	0.4209	0.4279	0.2379	0.2018	0.2046	0.1204	0.3096	0.3201	0.2314
signal1m	0.3184	0.2348	0.2533	0.2131	0.2702	0.2878	0.2878	0.2469	0.2958	1.0000	0.4628	0.2995	0.2113	0.3399	0.1300	0.2227	0.3798	0.2558	0.1895
trec-news	0.0620	0.0436	0.0422	0.0681	0.0835	0.0679	0.0677	0.0795	-0.0693	0.1217	1.0000	0.0441	-0.0241	-0.0209	0.0574	-0.0204	0.0600	0.0454	0.0254
robust04	0.0416	0.0256	0.0194	0.0370	0.0584	0.0599	0.0595	0.0594	-0.0747	0.0811	0.0656	1.0000	-0.0266	-0.0126	0.0488	-0.0377	0.0326	0.0366	0.0053
arguana	0.2747	0.2292	0.2534	0.2178	0.2459	0.2374	0.2373	0.2517	0.0637	0.2840	0.3115	0.2616	1.0000	0.1559	0.1798	0.1154	0.2201	0.2417	0.1416
webis-touche2020	0.1759	0.1677	0.1734	0.1959	0.2135	0.2161	0.2161	0.2093	-0.0209	0.2110	0.2116	0.2317	0.0718	1.0000	0.1017	0.0445	0.1768	0.1711	0.1255
quora	0.6807	0.9262	0.7167	1.0242	0.5189	0.6385	0.6385	0.5243	0.5093	0.7571	0.9984	1.0744	0.7696	0.6971	1.0000	0.4465	1.0338	0.6816	0.7129
cqadupstack	0.3405	0.3268	0.3328	0.3428	0.3404	0.3548	0.3544	0.3385	0.1287	0.3009	0.4360	0.4501	0.2323	0.2593	0.1877	1.0000	0.3545	0.3202	0.2640
scidocs	0.1595	0.1440	0.1419	0.1746	0.1613	0.1796	0.1796	0.1526	0.1121	0.1258	0.3094	0.2685	0.1335	0.1828	0.1601	0.1383	1.0000	0.1584	0.1128
scifact	0.0915	0.0563	0.0574	0.1600	0.1297	0.1442	0.1442	0.1215	0.0911	0.1241	0.2662	0.2197	0.1328	0.1859	0.1368	0.0746	0.1293	1.0000	0.1346
msmarco	0.2116	0.1982	0.2083	0.1484	0.1556	0.1780	0.1779	0.1526	0.0356	0.1836	0.3661	0.3101	0.1353	0.1968	0.1138	0.0810	0.1784	0.2204	1.0000
