	trec-covid	bioasq	nfcorpus	nq	hotpotqa	climate-fever	fever	dbpedia-entity	fiqa	signal1m	trec-news	robust04	arguana	webis-touche2020	quora	cqadupstack	scidocs	scifact	msmarco
trec-covid	1.0000	0.5225	0.5367	0.7852	0.7695	0.6963	0.6962	0.7722	0.8216	0.8511	0.7654	0.7957	0.7335	0.8538	0.8450	0.8544	0.8116	0.5629	0.6933
bioasq	0.5225	1.0000	0.1540	0.6365	0.6223	0.6332	0.6332	0.6220	0.4986	0.6195	0.6504	0.6609	0.4141	0.6220	0.5379	0.5949	0.4224	0.1639	0.7079
nfcorpus	0.5367	0.1540	1.0000	0.3979	0.3977	0.3425	0.3424	0.3994	0.5425	0.4687	0.3922	0.4194	0.5547	0.4648	0.5216	0.4705	0.5858	0.7047	0.3258
nq	0.7852	0.6365	0.3979	1.0000	0.9263	0.8870	0.8869	0.9260	0.7417	0.8924	0.8971	0.8946	0.6171	0.8980	0.8011	0.8941	0.6824	0.4205	0.8288
hotpotqa	0.7695	0.6223	0.3977	0.9263	1.0000	0.9088	0.9086	0.9868	0.7290	0.8748	0.8540	0.8523	0.6093	0.8689	0.7865	0.8719	0.6740	0.4207	0.8053
climate-fever	0.6963	0.6332	0.3425	0.8870	0.9088	1.0000	0.9998	0.9053	0.6556	0.8019	0.8279	0.8134	0.5391	0.8035	0.7134	0.7997	0.6032	0.3634	0.8089
fever	0.6962	0.6332	0.3424	0.8869	0.9086	0.9998	1.0000	0.9051	0.6556	0.8019	0.8277	0.8135	0.5392	0.8034	0.7133	0.7996	0.6031	0.3633	0.8090
dbpedia-entity	0.7722	0.6220	0.3994	0.9260	0.9868	0.9053	0.9051	1.0000	0.7312	0.8771	0.8534	0.8530	0.6119	0.8693	0.7896	0.8735	0.6768	0.4225	0.8040
fiqa	0.8216	0.4986	0.5425	0.7417	0.7290	0.6556	0.6556	0.7312	1.0000	0.8267	0.7301	0.7637	0.7555	0.8191	0.8492	0.8219	0.7839	0.5677	0.6590
signal1m	0.8511	0.6195	0.4687	0.8924	0.8748	0.8019	0.8019	0.8771	0.8267	1.0000	0.8723	0.8941	0.7018	0.9403	0.8771	0.9303	0.7535	0.4918	0.7968
trec-news	0.7654	0.6504	0.3922	0.8971	0.8540	0.8279	0.8277	0.8534	0.7301	0.8723	1.0000	0.9119	0.6057	0.8787	0.7784	0.8435	0.6608	0.4139	0.8578
robust04	0.7957	0.6609	0.4194	0.8946	0.8523	0.8134	0.8135	0.8530	0.7637	0.8941	0.9119	1.0000	0.6504	0.9016	0.8087	0.8625	0.6967	0.4421	0.8584
arguana	0.7335	0.4141	0.5547	0.6171	0.6093	0.5391	0.5392	0.6119	0.7555	0.7018	0.6057	0.6504	1.0000	0.6962	0.7429	0.6963	0.7329	0.5798	0.5498
webis-touche2020	0.8538	0.6220	0.4648	0.8980	0.8689	0.8035	0.8034	0.8693	0.8191	0.9403	0.8787	0.9016	0.6962	1.0000	0.8729	0.9344	0.7545	0.4876	0.8016
quora	0.8450	0.5379	0.5216	0.8011	0.7865	0.7134	0.7133	0.7896	0.8492	0.8771	0.7784	0.8087	0.7429	0.8729	1.0000	0.8732	0.7931	0.5468	0.7044
cqadupstack	0.8544	0.5949	0.4705	0.8941	0.8719	0.7997	0.7996	0.8735	0.8219	0.9303	0.8435	0.8625	0.6963	0.9344	0.8732	1.0000	0.7626	0.4936	0.7674
scidocs	0.8116	0.4224	0.5858	0.6824	0.6740	0.6032	0.6031	0.6768	0.7839	0.7535	0.6608	0.6967	0.7329	0.7545	0.7931	0.7626	1.0000	0.6193	0.5921
scifact	0.5629	0.1639	0.7047	0.4205	0.4207	0.3634	0.3633	0.4225	0.5677	0.4918	0.4139	0.4421	0.5798	0.4876	0.5468	0.4936	0.6193	1.0000	0.3492
msmarco	0.6933	0.7079	0.3258	0.8288	0.8053	0.8089	0.8090	0.8040	0.6590	0.7968	0.8578	0.8584	0.5498	0.8016	0.7044	0.7674	0.5921	0.3492	1.0000
