	trec-covid	bioasq	nfcorpus	nq	hotpotqa	climate-fever	fever	dbpedia-entity	fiqa	signal1m	trec-news	robust04	arguana	webis-touche2020	quora	cqadupstack	scidocs	scifact	msmarco
trec-covid	1.0000	0.0089	0.0303	0.1014	0.0750	0.0503	0.0503	0.0764	0.1929	0.1872	0.0872	0.1254	0.0505	0.2383	0.1906	0.2560	0.1527	0.0416	0.0442
bioasq	0.0089	1.0000	0.0003	0.0728	0.0831	0.1248	0.1248	0.0804	0.0025	0.0240	0.0719	0.0542	0.0005	0.0244	0.0032	0.0192	0.0014	0.0004	0.1717
nfcorpus	0.0303	0.0003	1.0000	0.0033	0.0026	0.0016	0.0016	0.0027	0.0860	0.0093	0.0030	0.0044	0.2769	0.0101	0.0691	0.0127	0.1684	0.5651	0.0014
nq	0.1014	0.0728	0.0033	1.0000	0.5244	0.4535	0.4535	0.5248	0.0312	0.2665	0.5252	0.5363	0.0059	0.2781	0.0353	0.2028	0.0175	0.0046	0.3755
hotpotqa	0.0750	0.0831	0.0026	0.5244	1.0000	0.6130	0.6130	0.9267	0.0237	0.2075	0.3535	0.3389	0.0046	0.1766	0.0263	0.1429	0.0136	0.0036	0.3808
climate-fever	0.0503	0.1248	0.0016	0.4535	0.6130	1.0000	1.0000	0.5920	0.0152	0.1429	0.3620	0.3013	0.0028	0.1364	0.0172	0.1042	0.0085	0.0022	0.4879
fever	0.0503	0.1248	0.0016	0.4535	0.6130	1.0000	1.0000	0.5921	0.0152	0.1429	0.3620	0.3013	0.0028	0.1364	0.0172	0.1042	0.0085	0.0022	0.4879
dbpedia-entity	0.0764	0.0804	0.0027	0.5248	0.9267	0.5920	0.5921	1.0000	0.0244	0.2132	0.3528	0.3412	0.0047	0.1776	0.0271	0.1471	0.0140	0.0037	0.3719
fiqa	0.1929	0.0025	0.0860	0.0312	0.0237	0.0152	0.0152	0.0244	1.0000	0.0878	0.0277	0.0411	0.1710	0.0938	0.4108	0.1154	0.3184	0.1097	0.0128
signal1m	0.1872	0.0240	0.0093	0.2665	0.2075	0.1429	0.1429	0.2132	0.0878	1.0000	0.2393	0.3082	0.0170	0.3544	0.1020	0.3399	0.0439	0.0123	0.1260
trec-news	0.0872	0.0719	0.0030	0.5252	0.3535	0.3620	0.3620	0.3528	0.0277	0.2393	1.0000	0.5535	0.0052	0.2749	0.0335	0.1939	0.0154	0.0040	0.3720
robust04	0.1254	0.0542	0.0044	0.5363	0.3389	0.3013	0.3013	0.3412	0.0411	0.3082	0.5535	1.0000	0.0076	0.3681	0.0467	0.2616	0.0228	0.0060	0.2788
arguana	0.0505	0.0005	0.2769	0.0059	0.0046	0.0028	0.0028	0.0047	0.1710	0.0170	0.0052	0.0076	1.0000	0.0179	0.1292	0.0225	0.2531	0.3048	0.0024
webis-touche2020	0.2383	0.0244	0.0101	0.2781	0.1766	0.1364	0.1364	0.1776	0.0938	0.3544	0.2749	0.3681	0.0179	1.0000	0.1087	0.4355	0.0514	0.0137	0.1290
quora	0.1906	0.0032	0.0691	0.0353	0.0263	0.0172	0.0172	0.0271	0.4108	0.1020	0.0335	0.0467	0.1292	0.1087	1.0000	0.1418	0.2441	0.0885	0.0158
cqadupstack	0.2560	0.0192	0.0127	0.2028	0.1429	0.1042	0.1042	0.1471	0.1154	0.3399	0.1939	0.2616	0.0225	0.4355	0.1418	1.0000	0.0672	0.0171	0.0996
scidocs	0.1527	0.0014	0.1684	0.0175	0.0136	0.0085	0.0085	0.0140	0.3184	0.0439	0.0154	0.0228	0.2531	0.0514	0.2441	0.0672	1.0000	0.2217	0.0072
scifact	0.0416	0.0004	0.5651	0.0046	0.0036	0.0022	0.0022	0.0037	0.1097	0.0123	0.0040	0.0060	0.3048	0.0137	0.0885	0.0171	0.2217	1.0000	0.0019
msmarco	0.0442	0.1717	0.0014	0.3755	0.3808	0.4879	0.4879	0.3719	0.0128	0.1260	0.3720	0.2788	0.0024	0.1290	0.0158	0.0996	0.0072	0.0019	1.0000
