	trec-covid	bioasq	nfcorpus	nq	hotpotqa	climate-fever	fever	dbpedia-entity	fiqa	signal1m	trec-news	robust04	arguana	webis-touche2020	quora	cqadupstack	scidocs	scifact	msmarco
trec-covid	0.1393	0.1130	0.1093	0.1017	0.0794	0.0814	0.0814	0.0757	0.0898	0.0668	0.0924	0.0968	0.1050	0.1100	0.0902	0.0803	0.0946	0.1171	0.1067
bioasq	0.3534	0.4330	0.3275	0.1742	0.1925	0.1925	0.1925	0.1912	0.1277	0.2033	0.1332	0.1551	0.1313	0.1427	0.1603	0.1912	0.2196	0.4567	0.2174
nfcorpus	0.2330	0.2657	0.3053	0.1679	0.1696	0.1736	0.1736	0.1672	0.1372	0.1997	0.1447	0.1526	0.1424	0.1495	0.1730	0.1547	0.1556	0.2594	0.2213
nq	0.1836	0.1822	0.1761	0.3999	0.3369	0.3645	0.3645	0.3307	0.2492	0.2935	0.3329	0.3104	0.2602	0.2879	0.3304	0.2253	0.2052	0.1710	0.3576
hotpotqa	0.1839	0.1809	0.1677	0.4478	0.5847	0.5973	0.5973	0.5734	0.1987	0.3041	0.3199	0.3037	0.2234	0.2236	0.2652	0.2082	0.1839	0.1734	0.3127
climate-fever	0.2352	0.2173	0.2252	0.3268	0.2276	0.2434	0.2434	0.2224	0.2962	0.2339	0.2994	0.3205	0.3119	0.3062	0.2621	0.2299	0.2490	0.2183	0.3345
fever	0.1675	0.1664	0.1535	0.3497	0.4121	0.4207	0.4207	0.4116	0.1684	0.2767	0.2695	0.2489	0.2036	0.2022	0.2395	0.1747	0.1564	0.1569	0.2594
dbpedia-entity	0.1006	0.0991	0.0987	0.1901	0.2187	0.2194	0.2194	0.2166	0.1079	0.1660	0.1562	0.1551	0.1330	0.1235	0.1559	0.1111	0.1092	0.0954	0.1574
fiqa	0.2103	0.1905	0.1923	0.2921	0.1905	0.2092	0.2092	0.1872	0.5152	0.2450	0.2997	0.3302	0.3154	0.3223	0.3423	0.2577	0.2460	0.1849	0.3371
signal1m	0.1051	0.1047	0.1023	0.1747	0.1546	0.1565	0.1565	0.1525	0.1548	0.1863	0.1787	0.1748	0.1570	0.1517	0.1719	0.1285	0.1132	0.1016	0.1651
trec-news	0.1006	0.0916	0.0950	0.1550	0.1197	0.1261	0.1261	0.1182	0.1522	0.1408	0.1797	0.1549	0.1504	0.1605	0.1587	0.1150	0.0974	0.0896	0.1476
robust04	0.1889	0.1672	0.1814	0.2069	0.1694	0.1759	0.1759	0.1647	0.1718	0.1658	0.1853	0.2250	0.2444	0.2039	0.1911	0.1300	0.1882	0.1680	0.2143
arguana	0.2530	0.2128	0.2192	0.3942	0.2540	0.2738	0.2738	0.2477	0.3770	0.2650	0.3876	0.4195	0.7783	0.4592	0.3407	0.2437	0.2934	0.2134	0.3659
webis-touche2020	0.0423	0.0391	0.0446	0.0597	0.0429	0.0455	0.0455	0.0419	0.0640	0.0469	0.0675	0.0605	0.0879	0.0886	0.0751	0.0404	0.0465	0.0402	0.0632
quora	0.2167	0.2013	0.1944	0.3613	0.2628	0.2837	0.2837	0.2550	0.3660	0.3250	0.3784	0.3436	0.3442	0.3906	0.7351	0.2971	0.2467	0.1887	0.3978
cqadupstack	0.2354	0.2261	0.1994	0.2831	0.2092	0.2272	0.2272	0.2042	0.2937	0.2456	0.2589	0.2650	0.2485	0.2837	0.3468	0.4928	0.3361	0.2148	0.3473
scidocs	0.2158	0.2124	0.1799	0.1783	0.1539	0.1616	0.1616	0.1529	0.1460	0.1614	0.1439	0.1575	0.1532	0.1513	0.1785	0.1989	0.3926	0.2025	0.1985
scifact	0.3480	0.4334	0.3390	0.1805	0.1742	0.1801	0.1801	0.1750	0.1333	0.1852	0.1379	0.1566	0.1501	0.1446	0.1569	0.1637	0.2130	0.4916	0.2146
msmarco	0.2836	0.2972	0.2833	0.3513	0.3169	0.3344	0.3344	0.3105	0.2788	0.3285	0.2867	0.2934	0.2435	0.2749	0.3910	0.2775	0.2493	0.2734	0.5009
