	trec-covid	bioasq	nfcorpus	nq	hotpotqa	climate-fever	fever	dbpedia-entity	fiqa	signal1m	trec-news	robust04	arguana	webis-touche2020	quora	cqadupstack	scidocs	scifact	msmarco
trec-covid	0.3183	0.3676	0.3849	0.3597	0.3819	0.3684	0.3684	0.3820	0.3965	0.4042	0.3868	0.3549	0.3679	0.3751	0.3260	0.4248	0.3683	0.3671	0.3522
bioasq	0.2216	0.1939	0.2452	0.2776	0.2744	0.2702	0.2702	0.2731	0.3335	0.2988	0.3278	0.2907	0.3208	0.3132	0.2495	0.3148	0.2702	0.1810	0.2579
nfcorpus	0.3008	0.2820	0.2583	0.3178	0.3277	0.3191	0.3191	0.3272	0.3482	0.2987	0.3360	0.3254	0.3471	0.3345	0.3020	0.3600	0.3371	0.2873	0.2799
nq	0.2869	0.2845	0.3068	0.1743	0.1953	0.1829	0.1829	0.1960	0.2434	0.2454	0.2198	0.2069	0.2260	0.2203	0.1841	0.3058	0.2603	0.2981	0.1856
hotpotqa	0.2499	0.2482	0.2704	0.1275	0.0960	0.1008	0.1008	0.1018	0.2376	0.2236	0.1957	0.1734	0.2168	0.2159	0.1813	0.2764	0.2329	0.2610	0.1750
climate-fever	0.2160	0.2250	0.2305	0.1478	0.1999	0.1911	0.1911	0.2025	0.1872	0.2395	0.1728	0.1546	0.1561	0.1659	0.2440	0.2633	0.1941	0.2328	0.1506
fever	0.2465	0.2418	0.2618	0.1408	0.1121	0.1106	0.1106	0.1112	0.2412	0.2140	0.1955	0.1808	0.2184	0.2127	0.2471	0.2789	0.2337	0.2576	0.1670
dbpedia-entity	0.3952	0.3931	0.4094	0.3073	0.2939	0.2892	0.2892	0.2932	0.3938	0.3597	0.3492	0.3332	0.3557	0.3660	0.3371	0.4233	0.3751	0.4050	0.3299
fiqa	0.2888	0.2930	0.3090	0.2280	0.2771	0.2605	0.2605	0.2768	0.1349	0.2557	0.2288	0.2061	0.2181	0.2053	0.1374	0.2552	0.2568	0.3045	0.1928
signal1m	0.3789	0.3756	0.3903	0.3191	0.3378	0.3278	0.3278	0.3369	0.3549	0.3094	0.3284	0.3129	0.3494	0.3549	0.3713	0.3845	0.3720	0.3886	0.3224
trec-news	0.3678	0.3770	0.3844	0.3170	0.3488	0.3356	0.3356	0.3485	0.3306	0.3366	0.3052	0.3157	0.3212	0.3252	0.3403	0.3927	0.3572	0.3847	0.3051
robust04	0.2822	0.2948	0.2968	0.2344	0.2638	0.2546	0.2546	0.2662	0.2772	0.3146	0.2741	0.2331	0.2282	0.2492	0.2574	0.3427	0.2604	0.3010	0.2303
arguana	0.1881	0.2051	0.2091	0.0948	0.1652	0.1533	0.1533	0.1661	0.1285	0.2014	0.1132	0.1019	0.0152	0.0906	0.1844	0.2164	0.1505	0.2118	0.1084
webis-touche2020	0.4870	0.4907	0.5016	0.4444	0.4620	0.4544	0.4544	0.4623	0.4601	0.4669	0.4590	0.4445	0.4284	0.4409	0.3754	0.4994	0.4657	0.4979	0.4337
quora	0.2889	0.2929	0.3110	0.2058	0.2450	0.2341	0.2341	0.2478	0.1782	0.2259	0.2103	0.2086	0.2045	0.1707	0.0197	0.2490	0.2524	0.3046	0.1759
cqadupstack	0.2505	0.2455	0.2745	0.1985	0.2368	0.2313	0.2313	0.2423	0.1895	0.2232	0.2225	0.2041	0.2267	0.1899	0.1315	0.1410	0.1996	0.2591	0.1715
scidocs	0.2915	0.2898	0.3205	0.3076	0.3200	0.3082	0.3082	0.3189	0.3653	0.3241	0.3372	0.3121	0.3470	0.3534	0.3522	0.3487	0.1940	0.3017	0.2969
scifact	0.1811	0.1440	0.1905	0.2613	0.2666	0.2561	0.2561	0.2626	0.3200	0.2871	0.3070	0.2688	0.3047	0.3041	0.3307	0.3117	0.2519	0.1162	0.2354
msmarco	0.2524	0.2451	0.2665	0.2008	0.2152	0.2062	0.2062	0.2152	0.2202	0.2217	0.2298	0.2172	0.2313	0.2168	0.1290	0.2666	0.2421	0.2583	0.1500
