	trec-covid	bioasq	nfcorpus	nq	hotpotqa	climate-fever	fever	dbpedia-entity	fiqa	signal1m	trec-news	robust04	arguana	webis-touche2020	quora	cqadupstack	scidocs	scifact	msmarco
trec-covid	1.3171	1.5038	1.1645	1.5557	1.1925	1.1408	1.1408	0.9532	1.0464	1.3154	1.2979	1.3355	1.3443	0.9990	0.7820	1.2226	1.3264	1.2179	1.4574
bioasq	0.4752	0.7102	0.3978	0.8157	0.3905	0.3777	0.3777	0.2632	0.4918	0.6834	0.6380	0.6360	0.5517	0.4903	0.2398	0.4770	0.7853	0.3281	0.7250
nfcorpus	0.2896	0.4219	0.3631	0.3448	0.1964	0.1872	0.1872	0.1796	0.1171	0.2434	0.1895	0.2277	0.2054	0.1432	0.1329	0.1255	0.2553	0.3123	0.4695
nq	0.6697	0.6104	0.6476	0.6461	0.5398	0.5819	0.5819	0.4346	0.5066	0.7994	0.6049	0.5834	0.5205	0.4989	0.4141	0.7528	0.5870	0.6352	0.6111
hotpotqa	0.3564	0.4486	0.2768	0.5484	0.2580	0.2638	0.2638	0.1741	0.3566	0.6152	0.4689	0.4241	0.4318	0.3451	0.2707	0.4518	0.5310	0.2513	0.4842
climate-fever	0.3194	0.2791	0.3221	0.2604	0.2667	0.2332	0.2332	0.2684	0.1397	0.4865	0.1754	0.1666	0.2025	0.1652	0.3798	0.3445	0.2696	0.3130	0.2298
fever	0.2779	0.2559	0.2806	0.3023	0.2154	0.2306	0.2306	0.2118	0.2123	0.4458	0.2788	0.2252	0.2366	0.1892	0.4571	0.3251	0.2422	0.2774	0.2645
dbpedia-entity	0.3518	0.4480	0.3473	0.7123	0.4688	0.4821	0.4821	0.4532	0.4179	0.6805	0.5349	0.5395	0.4326	0.3993	0.4276	0.4748	0.5365	0.3164	0.6126
fiqa	0.4496	0.6679	0.4018	0.8408	0.3873	0.3725	0.3725	0.3064	0.4936	0.6569	0.6042	0.7719	0.6030	0.4260	0.2688	0.4113	0.6733	0.3843	0.7004
signal1m	0.3475	0.3260	0.3270	0.4788	0.4410	0.4079	0.4079	0.4372	0.3117	0.5070	0.4102	0.3603	0.4289	0.3510	0.5111	0.2662	0.3942	0.3434	0.4072
trec-news	0.5208	0.4706	0.5086	0.6563	0.5731	0.4983	0.4983	0.5693	0.4899	0.6819	0.5679	0.5583	0.5521	0.5472	0.6004	0.5097	0.4776	0.4631	0.5420
robust04	0.5762	0.5368	0.4200	0.5896	0.4293	0.3977	0.3977	0.2987	0.3907	0.6561	0.5068	0.5127	0.4510	0.3981	0.3908	0.4927	0.6771	0.4396	0.4966
arguana	0.3261	0.3043	0.3251	0.2163	0.3057	0.2324	0.2324	0.3226	0.1342	0.4923	0.1779	0.1673	0.0086	0.1116	0.3763	0.3046	0.2496	0.3176	0.1932
webis-touche2020	1.1044	1.8766	1.1320	2.1298	0.6137	0.6239	0.6239	0.6142	1.4826	1.6078	1.7456	1.7416	1.8355	1.6536	1.0439	1.2382	1.9108	1.1932	1.8591
quora	0.7001	0.9831	0.5066	1.2133	0.5968	0.5866	0.5866	0.3828	0.5919	0.9419	0.8957	1.0112	0.8785	0.6004	0.0487	0.7040	1.0933	0.4753	0.9167
cqadupstack	0.4205	0.6056	0.3868	0.6199	0.2873	0.2564	0.2564	0.2716	0.2657	0.4874	0.4727	0.4815	0.4274	0.2820	0.1423	0.3226	0.5857	0.3824	0.4424
scidocs	0.3670	0.3062	0.2769	0.3921	0.3258	0.3291	0.3291	0.2623	0.3085	0.2957	0.2987	0.2691	0.3982	0.3358	0.4599	0.3927	0.4649	0.3636	0.3903
scifact	0.3018	0.2893	0.2767	0.2787	0.2422	0.2234	0.2234	0.2265	0.1821	0.3003	0.2207	0.1837	0.2009	0.1968	0.3422	0.1784	0.3055	0.2355	0.3151
msmarco	0.6714	0.4714	0.4600	0.6986	0.4999	0.4973	0.4973	0.1797	0.3832	0.6074	0.5625	0.6057	0.4861	0.4326	0.1259	0.5138	0.6222	0.4238	0.5427
