	trec-covid	bioasq	nfcorpus	nq	hotpotqa	climate-fever	fever	dbpedia-entity	fiqa	signal1m	trec-news	robust04	arguana	webis-touche2020	quora	cqadupstack	scidocs	scifact	msmarco
trec-covid	0.0116	0.0106	0.0206	0.0101	0.0101	0.0101	0.0101	0.0101	0.0121	0.0104	0.0105	0.0106	0.0139	0.0104	0.0113	0.0104	0.0131	0.0198	0.0106
bioasq	0.2015	0.1849	0.3231	0.1763	0.1765	0.1768	0.1768	0.1765	0.2043	0.1810	0.1825	0.1855	0.2193	0.1818	0.1963	0.1807	0.2239	0.3228	0.1846
nfcorpus	0.1358	0.1250	0.2271	0.1191	0.1193	0.1194	0.1195	0.1193	0.1392	0.1228	0.1234	0.1253	0.1524	0.1228	0.1330	0.1221	0.1495	0.2054	0.1248
nq	0.2360	0.2275	0.2729	0.2170	0.2173	0.2176	0.2177	0.2173	0.2457	0.2236	0.2247	0.2282	0.2617	0.2238	0.2403	0.2216	0.2504	0.2711	0.2276
hotpotqa	0.8068	0.8765	0.4888	0.8514	0.8526	0.8532	0.8532	0.8525	0.7796	0.8695	0.8748	0.8776	0.7027	0.8667	0.8236	0.8459	0.7325	0.5074	0.8775
climate-fever	0.1841	0.1694	0.2715	0.1616	0.1618	0.1620	0.1619	0.1618	0.1907	0.1666	0.1674	0.1697	0.2159	0.1666	0.1793	0.1658	0.2029	0.2631	0.1692
fever	0.5803	0.5947	0.4570	0.5674	0.5681	0.5692	0.5692	0.5680	0.5875	0.5846	0.5876	0.5961	0.5888	0.5845	0.5975	0.5750	0.5683	0.4695	0.5953
dbpedia-entity	0.0510	0.0484	0.0658	0.0461	0.0462	0.0463	0.0463	0.0462	0.0531	0.0476	0.0478	0.0486	0.0596	0.0475	0.0512	0.0473	0.0546	0.0623	0.0484
fiqa	0.2159	0.1991	0.2991	0.1898	0.1901	0.1903	0.1903	0.1900	0.2281	0.1957	0.1966	0.1994	0.2560	0.1957	0.2126	0.1948	0.2398	0.3014	0.1988
signal1m	0.0321	0.0299	0.0452	0.0285	0.0285	0.0285	0.0285	0.0285	0.0339	0.0293	0.0295	0.0299	0.0383	0.0294	0.0319	0.0292	0.0352	0.0448	0.0297
trec-news	0.0207	0.0191	0.0312	0.0182	0.0182	0.0182	0.0182	0.0182	0.0218	0.0188	0.0189	0.0190	0.0251	0.0188	0.0202	0.0187	0.0228	0.0304	0.0190
robust04	0.0605	0.0556	0.0936	0.0530	0.0531	0.0532	0.0532	0.0531	0.0627	0.0547	0.0549	0.0559	0.0733	0.0547	0.0593	0.0544	0.0663	0.0894	0.0556
arguana	0.5176	0.4919	0.5190	0.4693	0.4699	0.4701	0.4702	0.4698	0.5384	0.4838	0.4861	0.4931	0.6626	0.4840	0.5140	0.4798	0.5438	0.5342	0.4916
webis-touche2020	0.0083	0.0076	0.0128	0.0072	0.0072	0.0073	0.0073	0.0072	0.0087	0.0075	0.0075	0.0076	0.0102	0.0075	0.0081	0.0074	0.0093	0.0122	0.0076
quora	0.4320	0.4139	0.4550	0.3949	0.3954	0.3959	0.3960	0.3954	0.4545	0.4069	0.4089	0.4142	0.4703	0.4069	0.4426	0.4042	0.4586	0.4550	0.4136
cqadupstack	0.3533	0.3317	0.4277	0.3168	0.3173	0.3175	0.3176	0.3172	0.3712	0.3259	0.3280	0.3320	0.3869	0.3267	0.3537	0.3252	0.3909	0.4426	0.3316
scidocs	0.1310	0.1195	0.2000	0.1143	0.1145	0.1145	0.1145	0.1144	0.1352	0.1177	0.1182	0.1196	0.1471	0.1179	0.1280	0.1173	0.1474	0.2026	0.1193
scifact	0.1346	0.1231	0.2317	0.1173	0.1175	0.1177	0.1177	0.1175	0.1369	0.1203	0.1215	0.1233	0.1518	0.1210	0.1309	0.1203	0.1505	0.2302	0.1228
msmarco	0.8630	0.9449	0.5137	0.9058	0.9070	0.9074	0.9075	0.9068	0.8388	0.9290	0.9365	0.9466	0.7437	0.9286	0.8926	0.9034	0.7892	0.5389	0.9466
