	trec-covid	bioasq	nfcorpus	nq	hotpotqa	climate-fever	fever	dbpedia-entity	fiqa	signal1m	trec-news	robust04	arguana	webis-touche2020	quora	cqadupstack	scidocs	scifact	msmarco
trec-covid	0.1719	0.1443	0.1393	0.1287	0.1221	0.1296	0.1296	0.1218	0.1321	0.0978	0.1223	0.1465	0.1497	0.1391	0.1954	0.1076	0.1477	0.1469	0.1412
bioasq	0.3219	0.3639	0.3002	0.2248	0.2324	0.2358	0.2358	0.2342	0.1864	0.2035	0.1812	0.2143	0.1991	0.1994	0.2814	0.2063	0.2644	0.3813	0.2576
nfcorpus	0.2198	0.2377	0.2637	0.1794	0.1727	0.1779	0.1779	0.1736	0.1728	0.2131	0.1761	0.1787	0.1675	0.1824	0.2084	0.1745	0.1831	0.2333	0.2218
nq	0.2180	0.2195	0.2024	0.3424	0.3196	0.3329	0.3329	0.3177	0.2481	0.2534	0.2774	0.2967	0.2710	0.2745	0.3265	0.1938	0.2436	0.2075	0.3209
hotpotqa	0.2713	0.2697	0.2483	0.4692	0.5535	0.5367	0.5367	0.5396	0.2875	0.3059	0.3476	0.3780	0.3158	0.3138	0.3520	0.2287	0.2949	0.2569	0.3798
climate-fever	0.3296	0.3124	0.3101	0.4065	0.3290	0.3428	0.3427	0.3245	0.3789	0.2633	0.3798	0.4140	0.4217	0.4005	0.2789	0.2697	0.3611	0.3090	0.4027
fever	0.2453	0.2481	0.2315	0.3861	0.4406	0.4360	0.4360	0.4407	0.2627	0.3006	0.3221	0.3256	0.2839	0.3001	0.2795	0.2133	0.2604	0.2315	0.3487
dbpedia-entity	0.1489	0.1503	0.1429	0.1958	0.2121	0.2123	0.2123	0.2122	0.1493	0.1477	0.1676	0.1831	0.1792	0.1614	0.1796	0.1247	0.1640	0.1449	0.1808
fiqa	0.2326	0.2222	0.2163	0.2729	0.2223	0.2388	0.2388	0.2207	0.4274	0.2494	0.2873	0.3068	0.3024	0.3199	0.4379	0.2736	0.2727	0.2179	0.3274
signal1m	0.1523	0.1523	0.1490	0.1589	0.1436	0.1550	0.1550	0.1446	0.1772	0.1903	0.1755	0.1858	0.1592	0.1639	0.1485	0.1555	0.1497	0.1496	0.1659
trec-news	0.1535	0.1460	0.1506	0.1633	0.1393	0.1511	0.1511	0.1389	0.1879	0.1582	0.1905	0.1737	0.1802	0.1806	0.1715	0.1459	0.1605	0.1461	0.1780
robust04	0.2498	0.2389	0.2438	0.2833	0.2472	0.2580	0.2580	0.2450	0.2603	0.1903	0.2435	0.2891	0.3081	0.2772	0.2556	0.1906	0.2800	0.2386	0.2829
arguana	0.3670	0.3371	0.3356	0.5091	0.3863	0.4088	0.4088	0.3807	0.4765	0.3145	0.4913	0.5221	0.8406	0.5519	0.3583	0.3170	0.4357	0.3324	0.4938
webis-touche2020	0.0744	0.0698	0.0730	0.0765	0.0742	0.0761	0.0761	0.0733	0.1007	0.0665	0.0846	0.0861	0.1031	0.1019	0.1541	0.0729	0.0886	0.0717	0.0922
quora	0.2405	0.2314	0.2167	0.3287	0.2771	0.2889	0.2889	0.2726	0.3683	0.2895	0.3269	0.3217	0.3339	0.3808	0.7576	0.2739	0.2853	0.2196	0.3771
cqadupstack	0.2822	0.2809	0.2573	0.3215	0.2708	0.2794	0.2794	0.2618	0.3554	0.2887	0.2943	0.3146	0.2962	0.3443	0.4415	0.4130	0.3488	0.2723	0.3691
scidocs	0.2323	0.2341	0.2080	0.1852	0.1759	0.1844	0.1844	0.1759	0.1619	0.1785	0.1705	0.1950	0.1737	0.1638	0.1719	0.1728	0.3253	0.2271	0.2050
scifact	0.3746	0.4260	0.3731	0.2371	0.2364	0.2488	0.2488	0.2401	0.2085	0.2209	0.2071	0.2425	0.2171	0.2182	0.1866	0.2287	0.2869	0.4823	0.2754
msmarco	0.2866	0.2928	0.2678	0.3607	0.3343	0.3446	0.3446	0.3327	0.3005	0.3226	0.3118	0.3248	0.2909	0.3076	0.4459	0.2487	0.2965	0.2730	0.4578
